Date,Ticker,monthly_volume,monthly_volume_avg,monthly_volume_hi,monthly_volume_lo
2025-03-01,A,44.9,42.2,48.8,35.6
2025-04-01,A,52.8,42.2,48.8,35.6
2025-05-01,A,48.4,42.2,48.8,35.6
2025-06-01,A,38.3,42.2,48.8,35.6
2025-07-01,A,40.0,42.2,48.8,35.6
2025-08-01,A,29.6,42.2,48.8,35.6
2025-09-01,A,37.3,42.2,48.8,35.6
2025-10-01,A,39.4,42.2,48.8,35.6
2025-11-01,A,37.8,42.2,48.8,35.6
2025-12-01,A,44.4,42.2,48.8,35.6
2026-01-01,A,39.7,42.2,48.8,35.6
2026-02-01,A,48.3,42.2,48.8,35.6
2026-03-01,A,53.6,42.2,48.8,35.6
2026-04-01,A,35.9,42.2,48.8,35.6
2025-03-01,AAPL,1115.2,1091.7,1282.6,900.7
2025-04-01,AAPL,1607.3,1091.7,1282.6,900.7
2025-05-01,AAPL,1195.7,1091.7,1282.6,900.7
2025-06-01,AAPL,1100.4,1091.7,1282.6,900.7
2025-07-01,AAPL,1079.9,1091.7,1282.6,900.7
2025-08-01,AAPL,1218.1,1091.7,1282.6,900.7
2025-09-01,AAPL,1265.5,1091.7,1282.6,900.7
2025-10-01,AAPL,1097.1,1091.7,1282.6,900.7
2025-11-01,AAPL,877.6,1091.7,1282.6,900.7
2025-12-01,AAPL,924.5,1091.7,1282.6,900.7
2026-01-01,AAPL,1040.0,1091.7,1282.6,900.7
2026-02-01,AAPL,988.9,1091.7,1282.6,900.7
2026-03-01,AAPL,940.0,1091.7,1282.6,900.7
2026-04-01,AAPL,815.7,1091.7,1282.6,900.7
2025-03-01,ABBV,148.3,137.5,163.8,111.2
2025-04-01,ABBV,204.4,137.5,163.8,111.2
2025-05-01,ABBV,151.5,137.5,163.8,111.2
2025-06-01,ABBV,125.4,137.5,163.8,111.2
2025-07-01,ABBV,123.1,137.5,163.8,111.2
2025-08-01,ABBV,96.5,137.5,163.8,111.2
2025-09-01,ABBV,115.7,137.5,163.8,111.2
2025-10-01,ABBV,137.5,137.5,163.8,111.2
2025-11-01,ABBV,119.7,137.5,163.8,111.2
2025-12-01,ABBV,112.0,137.5,163.8,111.2
2026-01-01,ABBV,146.1,137.5,163.8,111.2
2026-02-01,ABBV,137.8,137.5,163.8,111.2
2026-03-01,ABBV,172.1,137.5,163.8,111.2
2026-04-01,ABBV,133.4,137.5,163.8,111.2
2025-03-01,ABNB,113.7,101.7,120.9,82.4
2025-04-01,ABNB,130.5,101.7,120.9,82.4
2025-05-01,ABNB,128.8,101.7,120.9,82.4
2025-06-01,ABNB,97.8,101.7,120.9,82.4
2025-07-01,ABNB,74.4,101.7,120.9,82.4
2025-08-01,ABNB,119.6,101.7,120.9,82.4
2025-09-01,ABNB,104.5,101.7,120.9,82.4
2025-10-01,ABNB,99.8,101.7,120.9,82.4
2025-11-01,ABNB,110.8,101.7,120.9,82.4
2025-12-01,ABNB,96.4,101.7,120.9,82.4
2026-01-01,ABNB,81.2,101.7,120.9,82.4
2026-02-01,ABNB,118.0,101.7,120.9,82.4
2026-03-01,ABNB,86.6,101.7,120.9,82.4
2026-04-01,ABNB,65.0,101.7,120.9,82.4
2025-03-01,ABT,159.8,166.1,217.3,114.9
2025-04-01,ABT,162.7,166.1,217.3,114.9
2025-05-01,ABT,138.2,166.1,217.3,114.9
2025-06-01,ABT,118.6,166.1,217.3,114.9
2025-07-01,ABT,167.0,166.1,217.3,114.9
2025-08-01,ABT,112.4,166.1,217.3,114.9
2025-09-01,ABT,114.3,166.1,217.3,114.9
2025-10-01,ABT,149.5,166.1,217.3,114.9
2025-11-01,ABT,127.0,166.1,217.3,114.9
2025-12-01,ABT,125.7,166.1,217.3,114.9
2026-01-01,ABT,238.7,166.1,217.3,114.9
2026-02-01,ABT,187.8,166.1,217.3,114.9
2026-03-01,ABT,278.9,166.1,217.3,114.9
2026-04-01,ABT,241.9,166.1,217.3,114.9
2025-03-01,ACGL,36.1,42.6,51.1,34.1
2025-04-01,ACGL,37.3,42.6,51.1,34.1
2025-05-01,ACGL,30.7,42.6,51.1,34.1
2025-06-01,ACGL,32.5,42.6,51.1,34.1
2025-07-01,ACGL,64.2,42.6,51.1,34.1
2025-08-01,ACGL,40.7,42.6,51.1,34.1
2025-09-01,ACGL,45.4,42.6,51.1,34.1
2025-10-01,ACGL,51.3,42.6,51.1,34.1
2025-11-01,ACGL,39.2,42.6,51.1,34.1
2025-12-01,ACGL,50.0,42.6,51.1,34.1
2026-01-01,ACGL,46.6,42.6,51.1,34.1
2026-02-01,ACGL,37.0,42.6,51.1,34.1
2026-03-01,ACGL,42.2,42.6,51.1,34.1
2026-04-01,ACGL,40.0,42.6,51.1,34.1
2025-03-01,ACN,89.6,98.2,129.7,66.7
2025-04-01,ACN,77.6,98.2,129.7,66.7
2025-05-01,ACN,60.9,98.2,129.7,66.7
2025-06-01,ACN,72.5,98.2,129.7,66.7
2025-07-01,ACN,78.5,98.2,129.7,66.7
2025-08-01,ACN,97.2,98.2,129.7,66.7
2025-09-01,ACN,127.8,98.2,129.7,66.7
2025-10-01,ACN,96.6,98.2,129.7,66.7
2025-11-01,ACN,66.6,98.2,129.7,66.7
2025-12-01,ACN,87.5,98.2,129.7,66.7
2026-01-01,ACN,91.2,98.2,129.7,66.7
2026-02-01,ACN,145.6,98.2,129.7,66.7
2026-03-01,ACN,179.0,98.2,129.7,66.7
2026-04-01,ACN,101.9,98.2,129.7,66.7
2025-03-01,ADBE,94.3,94.5,116.9,72.2
2025-04-01,ADBE,89.7,94.5,116.9,72.2
2025-05-01,ADBE,57.1,94.5,116.9,72.2
2025-06-01,ADBE,91.0,94.5,116.9,72.2
2025-07-01,ADBE,75.7,94.5,116.9,72.2
2025-08-01,ADBE,76.0,94.5,116.9,72.2
2025-09-01,ADBE,119.6,94.5,116.9,72.2
2025-10-01,ADBE,88.1,94.5,116.9,72.2
2025-11-01,ADBE,66.1,94.5,116.9,72.2
2025-12-01,ADBE,94.8,94.5,116.9,72.2
2026-01-01,ADBE,100.5,94.5,116.9,72.2
2026-02-01,ADBE,119.3,94.5,116.9,72.2
2026-03-01,ADBE,145.2,94.5,116.9,72.2
2026-04-01,ADBE,105.4,94.5,116.9,72.2
2025-03-01,ADI,75.1,79.8,93.4,66.2
2025-04-01,ADI,113.3,79.8,93.4,66.2
2025-05-01,ADI,93.4,79.8,93.4,66.2
2025-06-01,ADI,68.4,79.8,93.4,66.2
2025-07-01,ADI,74.2,79.8,93.4,66.2
2025-08-01,ADI,82.6,79.8,93.4,66.2
2025-09-01,ADI,57.1,79.8,93.4,66.2
2025-10-01,ADI,76.5,79.8,93.4,66.2
2025-11-01,ADI,79.2,79.8,93.4,66.2
2025-12-01,ADI,79.2,79.8,93.4,66.2
2026-01-01,ADI,73.0,79.8,93.4,66.2
2026-02-01,ADI,92.3,79.8,93.4,66.2
2026-03-01,ADI,90.0,79.8,93.4,66.2
2026-04-01,ADI,63.4,79.8,93.4,66.2
2025-03-01,ADM,131.7,79.3,97.6,61.1
2025-04-01,ADM,76.4,79.3,97.6,61.1
2025-05-01,ADM,67.1,79.3,97.6,61.1
2025-06-01,ADM,85.8,79.3,97.6,61.1
2025-07-01,ADM,67.5,79.3,97.6,61.1
2025-08-01,ADM,78.3,79.3,97.6,61.1
2025-09-01,ADM,79.7,79.3,97.6,61.1
2025-10-01,ADM,79.3,79.3,97.6,61.1
2025-11-01,ADM,71.5,79.3,97.6,61.1
2025-12-01,ADM,56.5,79.3,97.6,61.1
2026-01-01,ADM,76.3,79.3,97.6,61.1
2026-02-01,ADM,72.4,79.3,97.6,61.1
2026-03-01,ADM,104.1,79.3,97.6,61.1
2026-04-01,ADM,63.4,79.3,97.6,61.1
2025-03-01,ADP,44.5,48.7,67.1,30.4
2025-04-01,ADP,45.8,48.7,67.1,30.4
2025-05-01,ADP,30.3,48.7,67.1,30.4
2025-06-01,ADP,37.0,48.7,67.1,30.4
2025-07-01,ADP,31.9,48.7,67.1,30.4
2025-08-01,ADP,30.5,48.7,67.1,30.4
2025-09-01,ADP,43.5,48.7,67.1,30.4
2025-10-01,ADP,41.5,48.7,67.1,30.4
2025-11-01,ADP,40.4,48.7,67.1,30.4
2025-12-01,ADP,54.9,48.7,67.1,30.4
2026-01-01,ADP,47.1,48.7,67.1,30.4
2026-02-01,ADP,79.3,48.7,67.1,30.4
2026-03-01,ADP,96.6,48.7,67.1,30.4
2026-04-01,ADP,59.4,48.7,67.1,30.4
2025-03-01,ADSK,39.9,36.1,42.8,29.3
2025-04-01,ADSK,32.6,36.1,42.8,29.3
2025-05-01,ADSK,34.7,36.1,42.8,29.3
2025-06-01,ADSK,26.6,36.1,42.8,29.3
2025-07-01,ADSK,38.6,36.1,42.8,29.3
2025-08-01,ADSK,35.3,36.1,42.8,29.3
2025-09-01,ADSK,32.3,36.1,42.8,29.3
2025-10-01,ADSK,29.2,36.1,42.8,29.3
2025-11-01,ADSK,28.7,36.1,42.8,29.3
2025-12-01,ADSK,31.0,36.1,42.8,29.3
2026-01-01,ADSK,40.4,36.1,42.8,29.3
2026-02-01,ADSK,51.6,36.1,42.8,29.3
2026-03-01,ADSK,47.3,36.1,42.8,29.3
2026-04-01,ADSK,37.6,36.1,42.8,29.3
2025-03-01,AEE,43.4,35.8,40.7,30.9
2025-04-01,AEE,38.8,35.8,40.7,30.9
2025-05-01,AEE,35.8,35.8,40.7,30.9
2025-06-01,AEE,36.3,35.8,40.7,30.9
2025-07-01,AEE,33.2,35.8,40.7,30.9
2025-08-01,AEE,29.7,35.8,40.7,30.9
2025-09-01,AEE,29.7,35.8,40.7,30.9
2025-10-01,AEE,39.3,35.8,40.7,30.9
2025-11-01,AEE,31.1,35.8,40.7,30.9
2025-12-01,AEE,43.2,35.8,40.7,30.9
2026-01-01,AEE,29.3,35.8,40.7,30.9
2026-02-01,AEE,40.1,35.8,40.7,30.9
2026-03-01,AEE,39.2,35.8,40.7,30.9
2026-04-01,AEE,31.0,35.8,40.7,30.9
2025-03-01,AEP,110.1,73.2,88.7,57.7
2025-04-01,AEP,88.7,73.2,88.7,57.7
2025-05-01,AEP,67.9,73.2,88.7,57.7
2025-06-01,AEP,51.3,73.2,88.7,57.7
2025-07-01,AEP,69.7,73.2,88.7,57.7
2025-08-01,AEP,69.3,73.2,88.7,57.7
2025-09-01,AEP,66.0,73.2,88.7,57.7
2025-10-01,AEP,84.2,73.2,88.7,57.7
2025-11-01,AEP,70.0,73.2,88.7,57.7
2025-12-01,AEP,71.9,73.2,88.7,57.7
2026-01-01,AEP,65.0,73.2,88.7,57.7
2026-02-01,AEP,69.8,73.2,88.7,57.7
2026-03-01,AEP,89.8,73.2,88.7,57.7
2026-04-01,AEP,47.5,73.2,88.7,57.7
2025-03-01,AES,305.6,265.8,361.4,170.1
2025-04-01,AES,298.2,265.8,361.4,170.1
2025-05-01,AES,411.4,265.8,361.4,170.1
2025-06-01,AES,310.0,265.8,361.4,170.1
2025-07-01,AES,391.3,265.8,361.4,170.1
2025-08-01,AES,177.2,265.8,361.4,170.1
2025-09-01,AES,196.0,265.8,361.4,170.1
2025-10-01,AES,281.5,265.8,361.4,170.1
